team_a,team_b,distance_km
Arsenal,Aston Villa,161.3
Arsenal,Bournemouth,151.2
Arsenal,Brentford,14.4
Arsenal,Brighton & Hove Albion,77.1
Arsenal,Burnley,286.6
Arsenal,Chelsea,9.9
Arsenal,Crystal Palace,17.5
Arsenal,Everton,285.1
Arsenal,Fulham,11.9
Arsenal,Leeds United,266.1
Arsenal,Liverpool,284.2
Arsenal,Manchester City,256.9
Arsenal,Manchester United,258.5
Arsenal,Newcastle United,393.4
Arsenal,Nottingham Forest,169.1
Arsenal,Sunderland,383.1
Arsenal,Tottenham Hotspur,6.1
Arsenal,West Ham United,6.6
Arsenal,Wolverhampton Wanderers,179.9
Aston Villa,Arsenal,161.3
Aston Villa,Bournemouth,197.3
Aston Villa,Brentford,157.4
Aston Villa,Brighton & Hove Albion,221.3
Aston Villa,Burnley,144.2
Aston Villa,Chelsea,162.8
Aston Villa,Crystal Palace,174.5
Aston Villa,Everton,126.2
Aston Villa,Fulham,161.8
Aston Villa,Leeds United,142.6
Aston Villa,Liverpool,125.3
Aston Villa,Manchester City,110.4
Aston Villa,Manchester United,109.5
Aston Villa,Newcastle United,274.8
Aston Villa,Nottingham Forest,69.7
Aston Villa,Sunderland,269.5
Aston Villa,Tottenham Hotspur,160.0
Aston Villa,West Ham United,167.3
Aston Villa,Wolverhampton Wanderers,18.9
Bournemouth,Arsenal,151.2
Bournemouth,Aston Villa,197.3
Bournemouth,Brentford,137.0
Bournemouth,Brighton & Hove Albion,124.1
Bournemouth,Burnley,340.6
Bournemouth,Chelsea,141.8
Bournemouth,Crystal Palace,142.9
Bournemouth,Everton,310.3
Bournemouth,Fulham,139.7
Bournemouth,Leeds United,338.8
Bournemouth,Liverpool,309.4
Bournemouth,Manchester City,306.5
Bournemouth,Manchester United,304.9
Bournemouth,Newcastle United,471.7
Bournemouth,Nottingham Forest,249.9
Bournemouth,Sunderland,465.7
Bournemouth,Tottenham Hotspur,156.8
Bournemouth,West Ham United,155.3
Bournemouth,Wolverhampton Wanderers,207.2
Brentford,Arsenal,14.4
Brentford,Aston Villa,157.4
Brentford,Bournemouth,137.0
Brentford,Brighton & Hove Albion,71.4
Brentford,Burnley,287.1
Brentford,Chelsea,6.8
Brentford,Crystal Palace,17.4
Brentford,Everton,282.5
Brentford,Fulham,5.0
Brentford,Leeds United,268.6
Brentford,Liverpool,281.6
Brentford,Manchester City,256.6
Brentford,Manchester United,257.8
Brentford,Newcastle United,397.5
Brentford,Nottingham Forest,171.1
Brentford,Sunderland,387.7
Brentford,Tottenham Hotspur,19.9
Brentford,West Ham United,19.6
Brentford,Wolverhampton Wanderers,175.5
Brighton & Hove Albion,Arsenal,77.1
Brighton & Hove Albion,Aston Villa,221.3
Brighton & Hove Albion,Bournemouth,124.1
Brighton & Hove Albion,Brentford,71.4
Brighton & Hove Albion,Burnley,356.7
Brighton & Hove Albion,Chelsea,69.4
Brighton & Hove Albion,Crystal Palace,59.7
Brighton & Hove Albion,Everton,347.5
Brighton & Hove Albion,Fulham,68.9
Brighton & Hove Albion,Leeds United,339.7
Brighton & Hove Albion,Liverpool,346.6
Brighton & Hove Albion,Manchester City,325.2
Brighton & Hove Albion,Manchester United,326.1
Brighton & Hove Albion,Newcastle United,468.9
Brighton & Hove Albion,Nottingham Forest,242.0
Brighton & Hove Albion,Sunderland,459.1
Brighton & Hove Albion,Tottenham Hotspur,82.5
Brighton & Hove Albion,West Ham United,75.4
Brighton & Hove Albion,Wolverhampton Wanderers,238.4
Burnley,Arsenal,286.6
Burnley,Aston Villa,144.2
Burnley,Bournemouth,340.6
Burnley,Brentford,287.1
Burnley,Brighton & Hove Albion,356.7
Burnley,Chelsea,291.1
Burnley,Crystal Palace,302.7
Burnley,Everton,62.3
Burnley,Fulham,290.8
Burnley,Leeds United,43.2
Burnley,Liverpool,62.5
Burnley,Manchester City,34.1
Burnley,Manchester United,36.5
Burnley,Newcastle United,137.7
Burnley,Nottingham Forest,119.2
Burnley,Sunderland,136.5
Burnley,Tottenham Hotspur,283.4
Burnley,West Ham United,291.3
Burnley,Wolverhampton Wanderers,133.5
Chelsea,Arsenal,9.9
Chelsea,Aston Villa,162.8
Chelsea,Bournemouth,141.8
